comment_id,show_source,source_video_id,source_video_title,comment_text,comment_url,is_edge_case,edge_case_component,my_sentiment,my_depth,my_parasocial,my_behavioural_change,my_substantive_engagement,my_returning_listener,my_label_confidence,notes
001,lex_fridman,vif8NQcjVf1,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #495,This video and audio quality is fire,https://www.youtube.com/watch?v=vif8NQcjVf0&lc=UgxilxT1lzpJt4HyRDV4AaABAg,No,,positive,shallow,no,no,yes,no,high,
002,lex_fridman,vif8NQcjVf2,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #496,"Appreciate the work, mate.... NVIDIA Biggest competitor coming soon from me ... I hope NVIDIA is prepared",https://www.youtube.com/watch?v=vif8NQcjVf0&lc=Ugxr3lIpYiH6203D7594AaABAg,Yes,multiple,positive,shallow,yes,no,no,no,medium,
003,lex_fridman,vif8NQcjVf2,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #497,USED TO LOVE LEX UNTIL HE SHOWED HIMSELF TO BE A TOTAL FUCKING IDIOT.,https://www.youtube.com/watch?v=vif8NQcjVf0&lc=Ugw3u-sOnmdyCw5WoL94AaABAg,Yes,parasocial,negative,shallow,no,yes,no,yes,high,
004,lex_fridman,vif8NQcjVf2,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #498,Lex looks younger than he did when he started this podcast! Good work sir!,https://www.youtube.com/watch?v=vif8NQcjVf0&lc=UgwwNLZlQ_GPWUh2jM54AaABAg,No,,positive,deep,yes,no,yes,yes,high,
005,lex_fridman,vif8NQcjVf3,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #499,"I respectfully disagree. Jensen himself admits that the odds of agents building a company of Nvidia's complexity are 0%. If a system cannot replicate the multi-disciplinary, long-term strategic reasoning required to build a complex hardware-software ecosystem like Nvidia, it suggests we are still in the era of ""Narrow"" or ""Task-Oriented"" AI, rather than ""General"" AI.",https://www.youtube.com/watch?v=vif8NQcjVf0&lc=Ugw6zrxyCyIMGUvhdJ94AaABAg,No,,excluded,deep,no,no,yes,no,high,
006,lex_fridman,vif8NQcjVf4,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #500,"Amazing interview, love the ending.",https://www.youtube.com/watch?v=vif8NQcjVf0&lc=Ugz0CTYKzebt1PBPXYJ4AaABAg,No,,positive,shallow,no,no,yes,no,high,
007,lex_fridman,m_CFCyc2Shs,"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #485",I'm a physics professor. I was so bored at the start and by the end I wanted to leave academia to go work at Helion. This guy's enthusiasm is contagious.,https://www.youtube.com/watch?v=m_CFCyc2Shs&lc=UgyKRqaWxnEDlDI2UKt4AaABAg,Yes,behavioural,positive,deep,no,yes,yes,no,high,
008,lex_fridman,m_CFCyc2Shs,"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #486","I love how David talks about building a bunch of prototypes and that in the long run you make more progress.
That is why SpaceX is so successful.  There first Starship prototype was thought to be a water tower.  Arguments went on for weeks until one day is was clear to everyone it was a rocket.  SpaceX then went about building and blowing up a lot of prototypes and now Starship is finally building block 3 which will be production.     Wish the best to David and his team and keep those prototypes going until you're finally ready to build a working generator that can power a datacenter.  That will be very cool to see.",https://www.youtube.com/watch?v=m_CFCyc2Shs&lc=UgwFONJJjat-gAzKivV4AaABAg,No,,excluded,deep,no,no,yes,no,high,
009,lex_fridman,m_CFCyc2Shs,"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #487","Why does lex have so many advertisements, Joe Rogan is at most 2, these go on forever",https://www.youtube.com/watch?v=m_CFCyc2Shs&lc=UgwxBYhGtuV1XCSX4A94AaABAg,Yes,returning,negative,shallow,no,no,yes,yes,medium,
010,lex_fridman,m_CFCyc2Shs,"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #488",Lots of talk. No result,https://www.youtube.com/watch?v=m_CFCyc2Shs&lc=Ugy2vMPuUIKDdF-BfBt4AaABAg,No,,negative,shallow,no,no,yes,no,high,
011,lex_fridman,m_CFCyc2Shs,"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #489","I'm currently in 9th grade, and discovered a video featuring Helion while in Science class on YouTube. XD Ever since that, I've been really intrigued and interested in nuclear fusion and fission. My dad listens to your podcasts, and I just happened to overhear him playing this, which is why I am now here, listening to this podcast. I usually don't listen to podcasts, but this has piqued my interest. Thank you, Lex. : >",https://www.youtube.com/watch?v=m_CFCyc2Shs&lc=UgxvVSsdi9D5RZuEueR4AaABAg,Yes,behavioural,positive,deep,yes,yes,yes,no,high,
012,lex_fridman,m_CFCyc2Shs,"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #490","I loved this podcast. I am a regular guy, retired laborer, fascinated with all that Dr Kirtly talked about. He is so energetic and somewhat easy to understand. I would like to see more podcasts like this. Thank you!",https://www.youtube.com/watch?v=m_CFCyc2Shs&lc=Ugwx6H1-qTEKVyhHfCR4AaABAg,No,,positive,deep,no,no,yes,no,high,
013,lex_fridman,_bBRVNkAfkQ,"Deciphering Secrets of Ancient Civilizations, Noah's Ark, and Flood Myths | Lex Fridman Podcast #487",This podcast has become 1D,https://www.youtube.com/watch?v=_bBRVNkAfkQ&lc=UgwFM7SuVsAXE28m4eJ4AaABAg,Yes,returning,negative,shallow,no,no,no,yes,medium,
014,lex_fridman,_bBRVNkAfkQ,"Deciphering Secrets of Ancient Civilizations, Noah's Ark, and Flood Myths | Lex Fridman Podcast #488",Great conversation!!,https://www.youtube.com/watch?v=_bBRVNkAfkQ&lc=Ugzrat0SHLM-GpR-CCp4AaABAg,No,,positive,shallow,no,no,no,no,high,
015,lex_fridman,_bBRVNkAfkQ,"Deciphering Secrets of Ancient Civilizations, Noah's Ark, and Flood Myths | Lex Fridman Podcast #489",What was this picture of films and books? 2:00:03,https://www.youtube.com/watch?v=_bBRVNkAfkQ&lc=Ugxxporhe5IDBeUwCGh4AaABAg,Yes,behavioural,neutral,shallow,no,yes,yes,no,medium,
016,lex_fridman,_bBRVNkAfkQ,"Deciphering Secrets of Ancient Civilizations, Noah's Ark, and Flood Myths | Lex Fridman Podcast #490",This video changed my life. And I could listen to this man talk for any amount of time.,https://www.youtube.com/watch?v=_bBRVNkAfkQ&lc=UgyyVUt93M6OnW27A4d4AaABAg,No,,positive,shallow,no,yes,yes,no,medium,
